epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.62085,1.15459,3.42731,1.05187,0.94512,0.02778,0.025,0.02225,1.95663,4.68701,1.09305,0.000327044,0.000327044,0.0676226
2,12.5765,1.05082,1.10743,1.02931,0.20438,0.38889,0.23823,0.14213,1.84837,3.16928,0.9045,0.000656019,0.000656019,0.0346183
3,18.5704,1.1086,1.07929,1.04338,0.74886,0.28993,0.34129,0.19973,1.87792,2.01271,0.91301,0.000980594,0.000980594,0.00160952
4,24.5738,1.06332,1.03523,1.04618,0.84373,0.36806,0.43486,0.21921,1.96471,1.63095,0.91536,0.0009802,0.0009802,0.0009802
5,30.5536,1.01726,0.88139,1.00987,0.76778,0.36737,0.40112,0.24184,1.75376,1.66328,0.88023,0.0009736,0.0009736,0.0009736
6,36.5386,0.96879,0.81982,1.01081,0.92534,0.25825,0.31706,0.18139,1.92677,2.26344,0.89346,0.000967,0.000967,0.000967
7,42.6148,0.9949,0.8368,1.00331,0.72543,0.26389,0.33194,0.20624,1.81376,2.35923,0.88603,0.0009604,0.0009604,0.0009604
8,48.6136,0.91322,0.74132,0.96609,0.74592,0.46894,0.51982,0.28669,1.70573,1.52241,0.8571,0.0009538,0.0009538,0.0009538
9,54.6099,0.93442,0.74665,0.98566,0.75256,0.38019,0.47243,0.2703,1.73641,1.55342,0.87115,0.0009472,0.0009472,0.0009472
10,60.6527,0.87163,0.68686,0.95374,0.8256,0.49306,0.54877,0.28623,1.78935,1.27079,0.85651,0.0009406,0.0009406,0.0009406
11,66.6728,0.88016,0.69363,0.9494,0.81861,0.39583,0.49451,0.28978,1.65387,1.75331,0.84038,0.000934,0.000934,0.000934
12,72.74,0.83476,0.67908,0.93847,0.85365,0.48611,0.56998,0.29931,1.72615,1.26303,0.84678,0.0009274,0.0009274,0.0009274
13,78.8273,0.86392,0.70422,0.96568,0.76646,0.49306,0.56701,0.27743,1.75294,1.26455,0.86187,0.0009208,0.0009208,0.0009208
14,84.8307,0.84326,0.6233,0.91695,0.73244,0.45139,0.45646,0.24813,1.7872,1.39668,0.87057,0.0009142,0.0009142,0.0009142
15,90.8691,0.80089,0.61214,0.92204,0.62313,0.39583,0.4216,0.24555,1.74797,1.36555,0.86318,0.0009076,0.0009076,0.0009076
16,96.8993,0.84721,0.61471,0.94149,0.79298,0.38194,0.47846,0.26815,1.75475,1.36125,0.86863,0.000901,0.000901,0.000901
17,102.968,0.82481,0.61637,0.92795,0.75251,0.48566,0.5306,0.30351,1.69166,1.30929,0.85833,0.0008944,0.0008944,0.0008944
