epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,817.108,1.78535,1.64373,0.00608,0.75608,0.80741,0.85782,0.52875,1.3628,2.00215,0.00951,0.000333139,0.000333139,0.0670192
2,1624.89,1.53075,1.04863,0.00524,0.4298,0.85185,0.533,0.31098,1.56811,1.31158,0.01137,0.000666454,0.000666454,0.0340192
3,2431.17,1.49242,0.95617,0.00547,0.90332,0.83333,0.92239,0.60981,1.20403,3.24806,0.0076,0.000999697,0.000999697,0.00101912
4,3236.23,1.38906,0.84333,0.0045,0.82029,0.47963,0.63724,0.437,1.50079,3.01427,0.01002,0.000999756,0.000999756,0.000999756
5,4040.32,1.35866,0.82765,0.00434,0.91619,0.89071,0.94321,0.65689,0.97629,1.07843,0.00591,0.000999566,0.000999566,0.000999566
6,4845.27,1.29591,0.70992,0.00456,0.918,0.90185,0.94269,0.66651,1.1286,1.02574,0.00725,0.000999322,0.000999322,0.000999322
7,5649.38,1.2533,0.6843,0.00435,0.95599,0.88497,0.9504,0.58289,1.06633,0.75706,0.00679,0.000999023,0.000999023,0.000999023
8,6452.75,1.2646,0.65991,0.00412,0.94048,0.90706,0.96282,0.71549,1.00742,1.2122,0.0064,0.000998671,0.000998671,0.000998671
9,7256.83,1.22683,0.6574,0.00412,0.96083,0.92407,0.97065,0.70503,0.9629,0.72377,0.00585,0.000998264,0.000998264,0.000998264
10,8059.85,1.22267,0.6375,0.00417,0.91617,0.92037,0.95572,0.68661,0.86496,1.11672,0.00512,0.000997803,0.000997803,0.000997803
11,8862.82,1.20087,0.58092,0.00393,0.94491,0.88333,0.95052,0.70235,1.07769,0.98427,0.00674,0.000997288,0.000997288,0.000997288
12,9665.38,1.15656,0.56892,0.00381,0.8703,0.87778,0.93786,0.72193,1.17639,1.06244,0.00731,0.00099672,0.00099672,0.00099672
13,10468,1.12506,0.5629,0.00373,0.98228,0.92393,0.97388,0.77115,0.88208,0.67396,0.0055,0.000996097,0.000996097,0.000996097
14,11270,1.14329,0.5584,0.00357,0.98272,0.9477,0.97875,0.77494,0.76907,0.90686,0.00452,0.00099542,0.00099542,0.00099542
15,12072.6,1.10335,0.49657,0.00364,0.95495,0.92963,0.97033,0.77403,0.7593,0.57627,0.00457,0.00099469,0.00099469,0.00099469
16,12872.7,1.09982,0.49643,0.00359,0.92199,0.89738,0.9569,0.77607,0.83166,0.81529,0.00489,0.000993906,0.000993906,0.000993906
17,13672.9,1.12923,0.50978,0.00382,0.9253,0.90926,0.96449,0.76282,0.89446,0.83428,0.00514,0.000993068,0.000993068,0.000993068
18,14473.4,1.07851,0.50069,0.00347,0.98094,0.92963,0.97887,0.76243,0.86393,0.69231,0.0052,0.000992177,0.000992177,0.000992177
19,15272.9,1.09406,0.46464,0.00345,0.98612,0.92113,0.97161,0.78909,0.67493,0.66636,0.00373,0.000991232,0.000991232,0.000991232
20,16074.1,1.08107,0.45003,0.00342,0.97903,0.91667,0.97395,0.7655,0.99092,0.63934,0.00598,0.000990234,0.000990234,0.000990234
21,16874.1,1.06139,0.45988,0.00335,0.93381,0.91441,0.96763,0.78842,0.8051,0.63226,0.00465,0.000989183,0.000989183,0.000989183
22,17680.4,1.06496,0.44113,0.0034,0.98266,0.94815,0.98328,0.78967,0.7723,0.75654,0.00441,0.000988079,0.000988079,0.000988079
23,18479.6,1.03716,0.44696,0.00335,0.97718,0.90741,0.97035,0.75057,0.87956,0.70863,0.00511,0.000986922,0.000986922,0.000986922
24,19275,1.06355,0.45644,0.00341,0.98835,0.94251,0.98164,0.79554,0.84533,0.6515,0.00478,0.000985711,0.000985711,0.000985711
25,20071.6,1.03814,0.44127,0.00331,0.98878,0.94074,0.98302,0.80084,0.70771,0.5331,0.00397,0.000984449,0.000984449,0.000984449
